tick,total_energy,job_queue_len,stop_and_go,total_turning,orders_finished,phase
19.94999999999999,25634.516666417683,15,61,65,0,baseline
20.099999999999987,25871.226099677682,15,63,65,0,baseline
20.249999999999986,27322.237085581044,15,63,66,0,baseline
20.399999999999984,27570.12907189604,15,63,66,0,baseline
20.549999999999983,27830.974286161047,15,63,66,0,baseline
20.69999999999998,28078.190814736037,15,64,66,0,baseline
20.84999999999998,28422.064438665424,15,64,67,0,baseline
20.99999999999998,28688.862422040424,15,64,67,0,baseline
21.149999999999977,28960.602720450424,15,65,67,0,baseline
21.299999999999976,29241.629830995425,15,65,67,0,baseline
21.449999999999974,29509.223153325416,15,66,67,0,baseline
21.599999999999973,29810.381112171242,15,67,68,0,baseline
21.74999999999997,30253.52914946383,15,67,70,0,baseline
21.89999999999997,30517.781718098828,15,67,70,0,baseline
22.04999999999997,30881.25573493106,15,67,71,0,baseline
22.199999999999967,31099.35226859606,15,67,71,0,baseline
22.349999999999966,31299.43071559106,15,68,71,0,baseline
22.499999999999964,31586.53323308944,15,69,72,0,baseline
22.649999999999963,31821.665448789066,15,71,73,0,baseline
22.79999999999996,32143.67373886104,15,72,75,0,baseline
22.94999999999996,32322.056928437676,15,72,76,0,baseline
23.09999999999996,32437.730319797676,15,72,76,0,baseline
23.249999999999957,32535.19081264767,15,73,76,0,baseline
23.399999999999956,32728.77241975924,15,74,77,0,baseline
23.549999999999955,33806.39732673924,15,75,77,0,baseline
23.699999999999953,33926.058708909244,15,75,77,0,baseline
23.84999999999995,34062.84408606924,15,75,77,0,baseline
23.99999999999995,34215.97495821923,15,75,77,0,baseline
24.14999999999995,34400.6747960776,15,75,78,0,baseline
24.299999999999947,34586.9244361726,15,76,78,0,baseline
24.449999999999946,34800.764105120965,15,77,79,0,baseline
24.599999999999945,35024.839277450956,15,77,79,0,baseline
24.749999999999943,35270.54422371596,15,78,79,0,baseline
24.89999999999994,36380.63971179596,15,80,79,0,baseline
25.04999999999994,36758.000954522184,15,80,81,0,baseline
25.19999999999994,37034.47218186218,15,81,81,0,baseline
25.349999999999937,37739.524897004616,15,81,83,0,baseline
25.499999999999936,38073.23354629462,15,81,83,0,baseline
25.649999999999935,38437.07013779962,15,81,83,0,baseline
