item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,item_class_old
14620070001,金蘭陳年醬油 500ml,30.0,23.0,26.0,17940.0,11.02,12.0,1495.0,PCS,18.0,0.9046449225846236,1.833,1.465,33,"[1, 2, 3, 4, 6]","[12, 2, 1, 2, 1]",3,4,3
14620072001,瑞春原味醬油420ml,28.0,21.0,29.0,17052.0,9.89,12.0,1421.0,PCS,4.0,0.9860235662738954,2.5,2.38,10,"[1, 2, 6]","[2, 1, 1]",3,5,3
14620081001,金蘭甘醇醬油1500ml,34.0,22.0,29.0,21692.0,11.51,6.0,3615.3,PCS,4.0,0.9860368993850104,4.8,1.789,24,"[2, 4, 6]","[1, 1, 3]",3,8,3
14620083001,味全和風醬油鰹魚露340ml,29.0,22.0,20.0,12760.0,8.84,12.0,1063.3,PCS,8.0,0.9620172997116716,1.5,1.069,12,"[1, 2, 4]","[6, 1, 1]",3,3,3
14620084001,丸莊陳釀醬油 1000cc,33.0,25.0,29.0,23925.0,15.33,12.0,1993.8,PCS,25.0,0.8702454959084015,1.6,2.217,40,"[1, 2, 3, 12]","[21, 2, 1, 1]",3,4,3
14620088001,黑豆桑頂級厚黑金醬油550ml,36.0,26.0,23.0,21528.0,12.0,12.0,1794.0,PCS,1.0,0.9994400093331778,1.0,0.0,1,[1],[1],1,1,1
14620091001,龜甲萬鮮美露340ml,32.0,24.0,22.0,16896.0,8.26,12.0,1408.0,PCS,15.0,0.9200779987000216,4.062,3.768,65,"[1, 2, 5, 6, 7, 12]","[6, 3, 2, 2, 1, 2]",3,9,3
14620092001,黑豆桑全能缸底醬油-550ml,36.0,26.0,23.0,21528.0,16.5,12.0,1794.0,PCS,12.0,0.9375077082048632,1.667,2.015,20,"[1, 2, 8]","[10, 1, 1]",3,4,3
14620103001,高慶泉泰安醬油410ml,27.0,21.0,30.0,17010.0,9.55,12.0,1417.5,PCS,10.0,0.9498041699305012,2.8,1.398,28,"[2, 4, 6]","[7, 2, 1]",3,5,3
14620107001,雅媽吉甘口鰹魚露 1000ml,28.0,19.0,27.0,14364.0,7.32,6.0,2394.0,PCS,12.0,0.9375477075382076,1.583,1.443,19,"[1, 2, 6]","[9, 2, 1]",3,4,3
14620110001,淬釀和風醬油露靜岡鰹魚300ml,24.0,19.0,26.0,11856.0,9.08,12.0,988.0,PCS,35.0,0.8336261062315629,1.657,1.282,58,"[1, 2, 3, 6]","[24, 5, 4, 2]",2,3,2
